company_name,website,vat_id,reg_id,nace_code,nace_desc_slo,nace_desc_english
Addiko Bank d.d.,https://www.addiko.si,SI75482894,1319175000,K64.190,drugo denarno posredništvo,other monetary intermediation
"ADRIA AIRWAYS SLOVENSKI LETALSKI PREVOZNIK, D.D.",https://www.adria.si,SI51049406,5156505000,H51.100,potniški zračni promet,passenger air traffic
ÅF Pöyry Slovenia,,,,,,other monetary intermediation
Affidea Slovenia,,,,,,other monetary intermediation
Afry Slovenia,https://www.afry.com,,,,,other monetary intermediation
AIG Slovenia,https://www.aig.si,,,,,other monetary intermediation
Akkodis Slovenia,https://www.akkodis.com,,,,,other monetary intermediation
"Allianz Slovenija, podružnica ",https://www.allianz.com,SI67112510,8202893000,K65.120,"dejavnost zavarovanja, razen življenjskega","insurance activity, except for life"
AXA Partners Slovenia,https://www.axa.com,,,,,other monetary intermediation
Ba.Ro.Na d.o.o.,https://www.barona.org,SI68762364,2323532000,G46.690,trgovina na debelo z drugimi napravami in opremo,wholesale of other devices and equipment
Banka Intesa Sanpaolo d.d.,https://www.banka.si,SI98026305,5092221000,K64.190,drugo denarno posredništvo,other monetary intermediation
BANKA SLOVENIJE,https://www.sberbank.com,SI92582087,5023912000,K64.110,centralno bančništvo,central banking
BDO Svetovanje d.o.o.,https://www.bdo.si,SI92266134,5503701000,M70.220,drugo podjetniško in poslovno svetovanje,other entrepreneurial and business consulting
"Bolha tiskanje, Klemen Bolha s.p.",https://www.bolha.com,SI68951566,9423834000,C18.120,drugo tiskanje,second printing
Bravida Slovenia,https://www.bravida.com,,,,,other monetary intermediation
Brunel Slovenia,https://www.brunel.com,,,,,other monetary intermediation
Bunq Slovenia,https://www.bunq.si,,,,,other monetary intermediation
Caverion Slovenia,https://www.caverion.com,,,,,other monetary intermediation
Celtra d.o.o.,,SI46737332,3541649000,J62.090,druge z informacijsko tehnologijo in računalniškimi storitvami povezane dejavnosti,other activities related to information technology and computer services
COWI Slovenia,https://www.cowi.com,,,,,other monetary intermediation
DELAVSKA HRANILNICA d.d. LJUBLJANA,,SI47523638,5448557000,K64.190,drugo denarno posredništvo,other monetary intermediation
ELEKTRO LJUBLJANA d.d.,https://www.elektro.com,SI49977725,5227992000,D35.130,distribucija električne energije,distribution of electricity
"ELES, d.o.o.",https://www.eles.si,SI 20874731	,5427223000,D35.120,prenos električne energije,transmission of electricity
eToro Slovenia,https://www.etoro.si,,,,,other monetary intermediation
Etteplan Slovenia,https://www.etteplan.com,,,,,other monetary intermediation
EVBox Slovenia,https://www.evbox.si,,,,,other monetary intermediation
"GEN-I, d.o.o.",https://www.geni.si,SI71345442,1587714000,D35.140,trgovanje z električno energijo,electricity trading
GENERALI d.d.,https://www.generali.com,SI88725324,5186684000,K65.110,dejavnost življenjskega zavarovanja,life insurance activity
Gi Group Slovenia,https://www.gi.si,,,,,other monetary intermediation
"GORENJSKA BANKA D.D., KRANJ",https://www.gorenjska.si,SI42780071,5103061000,K64.190,drugo denarno posredništvo,other monetary intermediation
Grafton Recruitment Slovenia,https://www.grafton.com,,,,,other monetary intermediation
Grant Thornton Consulting d.o.o.,https://www.grantthornton.si,SI18933670,1279009000,M69.200,"računovodske, knjigovodske in revizijske dejavnosti, davčno svetovanje","accounting, bookkeeping and audit activities, tax consultancy"
HOFER trgovina d.o.o.,https://www.hofer.si,SI91043522,1992414000,G47.110,"trgovina na drobno v nespecializiranih prodajalnah, pretežno z živili","retail trade in non-specialized stores, mainly with foodstuffs"
Honeywell Safety Products Slovenia,https://www.honeywell.si,,,,,other monetary intermediation
JP VOKA SNAGA d.o.o.,https://www.snaga.com,SI64520463,5046688000,E36.000,"zbiranje, prečiščevanje in distribucija vode","collection, purification and distribution of water"
Kelly Services Slovenia,https://www.kellyservices.com,,,,,other monetary intermediation
KONJENIŠKI KLUB TUŠ,https://www.tus.si,SI97495115,4056400000,S94.999,dejavnost drugje nerazvrščenih članskih organizacij,activity of membership organizations not elsewhere classified
"Mercator IP, d.o.o.",https://www.mercator.si,SI15965660,2054485000,G46.900,nespecializirana trgovina na debelo,non-specialized wholesale trade
Modis Slovenia,https://www.modis.com,,,,,other monetary intermediation
Multiconsult Slovenia,,,,,,other monetary intermediation
Newsec Slovenia,https://www.newsec.com,,,,,other monetary intermediation
Norconsult Slovenia,https://www.norconsult.com,,,,,other monetary intermediation
"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",https://www.nlb.si,SI91132550,5860571000,K64.190,drugo denarno posredništvo,other monetary intermediation
Odvetniška pisarna WOLF THEISS - Podružnica v Sloveniji,https://www.wolf.com,SI56126859,3373860000,M69.101,odvetništvo,legal profession
"OTP banka d.d., Poslovalnica Koper",https://www.skb.com,SI94314527,5860580000,K64.190,drugo denarno posredništvo,other monetary intermediation
Outfit7,https://www.outfit7.com,,,,,other monetary intermediation
PayPal Slovenia,https://www.paypal.com,,,,,other monetary intermediation
PE LJUBLJANA,,SI67103090,8414548001,S94.999,dejavnost drugje nerazvrščenih članskih organizacij,activity of membership organizations not elsewhere classified
PETROL d.d.,https://www.petrol.si,SI80267432,5025796000,G47.301,trgovina na drobno z lastnimi motornimi gorivi,retail trade with own motor fuels
PLANINSKO DRUŠTVO ABANKA,,SI33472149,5165628000,R93.120,dejavnost športnih klubov,activity of sports clubs
POŠTA SLOVENIJE d.o.o.,https://www.posta.com,SI25028022,5881447000,H53.100,izvajanje univerzalne poštne storitve,implementation of the universal postal service
Pöyry Slovenia,https://www.pyry.eu,,,,,other monetary intermediation
"R.S.M., d.o.o. ",https://www.rsm.si,SI32810059,6321038000,S96.021,frizerska dejavnost,hairdressing business
RAIFFEISEN trgovina d.o.o.,https://www.raiffeisenbank.com,SI80684858,1319779000,G46.900,nespecializirana trgovina na debelo,non-specialized wholesale trade
Rejlers Slovenia,https://www.rejlers.com,,,,,other monetary intermediation
"REVOLUT - G, raziskave, razvoj in prodaja, d.o.o.",https://www.revolut.com,SI83719172,8378959000,M72.190,raziskovalna in razvojna dejavnost na drugih področjih naravoslovja in tehnologije,research and development activity in other fields of natural science and technology
Semcon Slovenia,https://www.semcon.com,,,,,other monetary intermediation
"SLOVENSKE ŽELEZNICE, d.o.o.",https://www.slovenske.com,SI18190995,5142733000,M70.100,dejavnost uprav podjetij,activity of company administrations
Smurfit Kappa Slovenia,https://www.smurfitkappa.com,,,,,other monetary intermediation
Spring Professional Slovenia,https://www.spring.com,,,,,other monetary intermediation
Starr Insurance Slovenia,https://www.starr.com,,,,,other monetary intermediation
Stripe Slovenia,https://www.stripe.si,,,,,other monetary intermediation
Synergie Slovenia,https://www.synergie.com,,,,,other monetary intermediation
Synlab Slovenia,https://www.synlab.si,,,,,other monetary intermediation
T-Mobile Slovenia,,,,,,other monetary intermediation
Talanx Slovenia,https://www.talanx.com,,,,,other monetary intermediation
"TELEKOM SLOVENIJE, d.d.",https://www.telekom.si,SI98511734,5014018000,J61.100,telekomunikacijske dejavnosti po vodih,telecommunications activities over water
Telemach Slovenija d.o.o.,https://www.telemach.si,SI66863627,5692229000,J61.200,brezžične telekomunikacijske dejavnosti,wireless telecommunications activities
Tide Slovenia,https://www.tide.com,,,,"",other monetary intermediation
Travelers Slovenia,https://www.travelers.com,,,,"",other monetary intermediation
UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,https://www.ukc.com,SI52111776,5057272000,Q86.100,bolnišnična zdravstvena dejavnost,hospital health activity
UNICREDIT BANKA SLOVENIJA d.d.,https://www.unicredit.eu,SI59622806,5446546000,K64.190,drugo denarno posredništvo,other monetary intermediation
UNIVERZA V LJUBLJANI,https://www.university.si,SI54162513,5085063000,P85.422,visokošolsko izobraževanje,higher education
"VODOVOD - KANALIZACIJA, d.o.o.",https://www.vodovod.com,SI45804109,5914540000,E36.000,"zbiranje, prečiščevanje in distribucija vode","collection, purification and distribution of water"
Wallbox Slovenia,https://www.wallbox.si,,,,,other monetary intermediation
Wise Slovenia,https://www.wise.si,,,,,other monetary intermediation
Wüstenrot Slovenia,,,,,,other monetary intermediation
"ZAVAROVALNICA TRIGLAV, d.d.",https://www.triglav.si,SI80040306,5063345000,K65.120,"dejavnost zavarovanja, razen življenjskega","insurance activity, except for life"
Zemanta,https://www.zemanta.si,,,,,other monetary intermediation
