company_name,website,vat_id,reg_id,nace_code_slo
Addiko Bank d.d.,https://www.addiko.si,SI75482894,1319175000,K64.190 - drugo denarno posredništvo
"ADRIA AIRWAYS SLOVENSKI LETALSKI PREVOZNIK, D.D.",https://www.adria.si,SI51049406,5156505000,H51.100 - potniški zračni promet
ÅF Pöyry Slovenia,N/A,N/A,N/A,N/A
Affidea Slovenia,N/A,N/A,N/A,N/A
Afry Slovenia,https://www.afry.com,N/A,N/A,N/A
AIG Slovenia,https://www.aig.si,N/A,N/A,N/A
Akkodis Slovenia,https://www.akkodis.com,N/A,N/A,N/A
"Allianz Slovenija, podružnica ",https://www.allianz.com,SI67112510,8202893000,"K65.120 - dejavnost zavarovanja, razen življenjskega "
AXA Partners Slovenia,https://www.axa.com,N/A,N/A,N/A
Ba.Ro.Na d.o.o.,https://www.barona.org,SI68762364,2323532000,G46.690 - trgovina na debelo z drugimi napravami in opremo 
Banka Intesa Sanpaolo d.d.,https://www.banka.si,SI98026305,5092221000,K64.190 - drugo denarno posredništvo 
BANKA SLOVENIJE,https://www.sberbank.com,SI92582087,5023912000,K64.110 - centralno bančništvo 
BDO Svetovanje d.o.o.,https://www.bdo.si,SI92266134,5503701000,M70.220 - drugo podjetniško in poslovno svetovanje 
"Bolha tiskanje, Klemen Bolha s.p.",https://www.bolha.com,SI68951566,9423834000,C18.120 - drugo tiskanje 
Bravida Slovenia,https://www.bravida.com,N/A,N/A,N/A
Brunel Slovenia,https://www.brunel.com,N/A,N/A,N/A
Bunq Slovenia,https://www.bunq.si,N/A,N/A,N/A
Caverion Slovenia,https://www.caverion.com,N/A,N/A,N/A
Celtra d.o.o.,N/A,SI46737332,3541649000,J62.090 - druge z informacijsko tehnologijo in računalniškimi storitvami povezane dejavnosti 
COWI Slovenia,https://www.cowi.com,N/A,N/A,N/A
DELAVSKA HRANILNICA d.d. LJUBLJANA,N/A,SI47523638,5448557000,K64.190 - drugo denarno posredništvo 
ELEKTRO LJUBLJANA d.d.,https://www.elektro.com,SI49977725,5227992000,D35.130 - distribucija električne energije 
"ELES, d.o.o.",https://www.eles.si,SI 20874731	,5427223000,D35.120 - prenos električne energije 
eToro Slovenia,https://www.etoro.si,N/A,N/A,N/A
Etteplan Slovenia,https://www.etteplan.com,N/A,N/A,N/A
EVBox Slovenia,https://www.evbox.si,N/A,N/A,N/A
"GEN-I, d.o.o.",https://www.geni.si,SI71345442,1587714000,D35.140 - trgovanje z električno energijo 
GENERALI d.d.,https://www.generali.com,SI88725324,5186684000,K65.110 - dejavnost življenjskega zavarovanja 
Gi Group Slovenia,https://www.gi.si,N/A,N/A,N/A
"GORENJSKA BANKA D.D., KRANJ",https://www.gorenjska.si,SI42780071,5103061000,K64.190 - drugo denarno posredništvo 
Grafton Recruitment Slovenia,https://www.grafton.com,N/A,N/A,N/A
Grant Thornton Consulting d.o.o.,https://www.grantthornton.si,SI18933670,1279009000,"M69.200 - računovodske, knjigovodske in revizijske dejavnosti, davčno svetovanje "
HOFER trgovina d.o.o.,https://www.hofer.si,SI91043522,1992414000,"G47.110 - trgovina na drobno v nespecializiranih prodajalnah, pretežno z živili "
Honeywell Safety Products Slovenia,https://www.honeywell.si,N/A,N/A,N/A
JP VOKA SNAGA d.o.o.,https://www.snaga.com,SI64520463,5046688000,"E36.000 - zbiranje, prečiščevanje in distribucija vode "
Kelly Services Slovenia,https://www.kellyservices.com,N/A,N/A,N/A
KONJENIŠKI KLUB TUŠ,https://www.tus.si,SI97495115,4056400000,S94.999 - dejavnost drugje nerazvrščenih članskih organizacij 
"Mercator IP, d.o.o.",https://www.mercator.si,SI15965660,2054485000,G46.900 - nespecializirana trgovina na debelo 
Modis Slovenia,https://www.modis.com,N/A,N/A,N/A
Multiconsult Slovenia,N/A,N/A,N/A,N/A
Newsec Slovenia,https://www.newsec.com,N/A,N/A,N/A
Norconsult Slovenia,https://www.norconsult.com,N/A,N/A,N/A
"NOVA LJUBLJANSKA BANKA D.D., LJUBLJANA",https://www.nlb.si,SI91132550,5860571000,K64.190 - drugo denarno posredništvo 
Odvetniška pisarna WOLF THEISS - Podružnica v Sloveniji,https://www.wolf.com,SI56126859,3373860000,M69.101 - odvetništvo 
"OTP banka d.d., Poslovalnica Koper",https://www.skb.com,SI94314527,5860580000,K64.190 - drugo denarno posredništvo 
Outfit7,https://www.outfit7.com,N/A,N/A,N/A
PayPal Slovenia,https://www.paypal.com,N/A,N/A,N/A
PE LJUBLJANA,N/A,SI67103090,8414548001,S94.999 - dejavnost drugje nerazvrščenih članskih organizacij 
PETROL d.d.,https://www.petrol.si,SI80267432,5025796000,G47.301 - trgovina na drobno z lastnimi motornimi gorivi 
PLANINSKO DRUŠTVO ABANKA,N/A,SI33472149,5165628000,R93.120 - dejavnost športnih klubov 
POŠTA SLOVENIJE d.o.o.,https://www.posta.com,SI25028022,5881447000,H53.100 - izvajanje univerzalne poštne storitve 
Pöyry Slovenia,https://www.pyry.eu,N/A,N/A,N/A
"R.S.M., d.o.o. ",https://www.rsm.si,SI32810059,6321038000,S96.021 - frizerska dejavnost 
RAIFFEISEN trgovina d.o.o.,https://www.raiffeisenbank.com,SI80684858,1319779000,G46.900 - nespecializirana trgovina na debelo 
Rejlers Slovenia,https://www.rejlers.com,N/A,N/A,N/A
"REVOLUT - G, raziskave, razvoj in prodaja, d.o.o.",https://www.revolut.com,SI83719172,8378959000,M72.190 - raziskovalna in razvojna dejavnost na drugih področjih naravoslovja in tehnologije 
Semcon Slovenia,https://www.semcon.com,N/A,N/A,N/A
"SLOVENSKE ŽELEZNICE, d.o.o.",https://www.slovenske.com,SI18190995,5142733000,M70.100 - dejavnost uprav podjetij 
Smurfit Kappa Slovenia,https://www.smurfitkappa.com,N/A,N/A,N/A
Spring Professional Slovenia,https://www.spring.com,N/A,N/A,N/A
Starr Insurance Slovenia,https://www.starr.com,N/A,N/A,N/A
Stripe Slovenia,https://www.stripe.si,N/A,N/A,N/A
Synergie Slovenia,https://www.synergie.com,N/A,N/A,N/A
Synlab Slovenia,https://www.synlab.si,N/A,N/A,N/A
T-Mobile Slovenia,N/A,N/A,N/A,N/A
Talanx Slovenia,https://www.talanx.com,N/A,N/A,N/A
"TELEKOM SLOVENIJE, d.d.",https://www.telekom.si,SI98511734,5014018000,J61.100 - telekomunikacijske dejavnosti po vodih 
Telemach Slovenija d.o.o.,https://www.telemach.si,SI66863627,5692229000,J61.200 - brezžične telekomunikacijske dejavnosti 
Tide Slovenia,https://www.tide.com,N/A,N/A,
Travelers Slovenia,https://www.travelers.com,N/A,N/A,
UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,https://www.ukc.com,SI52111776,5057272000,Q86.100 - bolnišnična zdravstvena dejavnost 
UNICREDIT BANKA SLOVENIJA d.d.,https://www.unicredit.eu,SI59622806,5446546000,K64.190 - drugo denarno posredništvo 
UNIVERZA V LJUBLJANI,https://www.university.si,SI54162513,5085063000,P85.422 - visokošolsko izobraževanje 
"VODOVOD - KANALIZACIJA, d.o.o.",https://www.vodovod.com,SI45804109,5914540000,"E36.000 - zbiranje, prečiščevanje in distribucija vode "
