company_name,website,vat_id,company_reg_number,score,priority,nace_codes,country
GEN-I,https://www.geni.si,,,0.03,E,D35,SI
Petrol,https://www.petrol.si,,,0.33,S,G47.3,SI
NLB,https://www.nlb.si,,,0.18,G,K64,SI
Telekom Slovenije,https://www.telekom.si,,,0.25,G,J61,SI
Wolf Theiss Slovenia,https://www.wolf.com,,,0.08,G,M70.2,SI
Bolha Slovenia,https://www.bolha.com,,,0,G,L68,SI
Honeywell Safety Products Slovenia,https://www.honeywell.si,,,0.33,S,Q86,SI
Revolut Slovenia,https://www.revolut.com,,,0.13,G,K64,SI
Bunq Slovenia,https://www.bunq.si,,,0.08,G,K64,SI
Wise Slovenia,https://www.wise.si,,,0.13,G,K64,SI
PayPal Slovenia,https://www.paypal.com,,,0.08,G,K64,SI
Stripe Slovenia,https://www.stripe.si,,,0,G,K64,SI
eToro Slovenia,https://www.etoro.si,,,0,G,K64,SI
Tide Slovenia,https://www.tide.com,,,0,G,K64,SI
Allianz Slovenia,https://www.allianz.com,,,0.13,G,K64,SI
Generali Slovenia,https://www.generali.com,,,0.38,S,K64,SI
Talanx Slovenia,https://www.talanx.com,,,0.08,G,K64,SI
Wüstenrot Slovenia,,,,0.08,G,K64,SI
AXA Partners Slovenia,https://www.axa.com,,,0.08,G,K64,SI
Starr Insurance Slovenia,https://www.starr.com,,,0.08,G,K65.1,SI
AIG Slovenia,https://www.aig.si,,,0.08,G,K64,SI
Travelers Slovenia,https://www.travelers.com,,,0.08,G,K64,SI
Kelly Services Slovenia,https://www.kellyservices.com,,,0.08,S,P85,SI
Gi Group Slovenia,https://www.gi.si,,,0.33,S,P85,SI
Synergie Slovenia,https://www.synergie.com,,,0,S,P85,SI
Brunel Slovenia,https://www.brunel.com,,,0.08,S,P85,SI
Grafton Recruitment Slovenia,https://www.grafton.com,,,0.08,S,P85,SI
Modis Slovenia,https://www.modis.com,,,0,S,P85,SI
Akkodis Slovenia,https://www.akkodis.com,,,0.33,S,P85,SI
Spring Professional Slovenia,https://www.spring.com,,,0.08,S,P85,SI
Barona Slovenia,https://www.barona.org,,,0.08,S,P85,SI
Newsec Slovenia,https://www.newsec.com,,,0.08,G,L68,SI
Caverion Slovenia,https://www.caverion.com,,,0.33,S,L68,SI
Bravida Slovenia,https://www.bravida.com,,,0.08,G,L68,SI
COWI Slovenia,https://www.cowi.com,,,0.33,S,M70.2,SI
Norconsult Slovenia,https://www.norconsult.com,,,0.33,S,M70.2,SI
Multiconsult Slovenia,,,,0.33,S,M70.2,SI
Afry Slovenia,https://www.afry.com,,,0.33,S,M70.2,SI
Pöyry Slovenia,https://www.pyry.eu,,,0.33,S,M70.2,SI
Rejlers Slovenia,https://www.rejlers.com,,,0.33,S,M70.2,SI
Etteplan Slovenia,https://www.etteplan.com,,,0.25,G,M70.2,SI
Semcon Slovenia,https://www.semcon.com,,,0.25,G,M70.2,SI
ÅF Pöyry Slovenia,,,,0.33,S,M70.2,SI
Wallbox Slovenia,https://www.wallbox.si,,,0.28,S,D35.1.1,SI
EVBox Slovenia,https://www.evbox.si,,,0.28,S,D35.1.1,SI
NLB (Nova Ljubljanska banka),https://www.nlb.si,,,0,G,K64.1.9,SI
SKB banka,https://www.skb.com,,,0.08,G,K64.1.9,SI
Abanka,,,,0.13,G,K64.1.9,SI
UniCredit Banka Slovenija,https://www.unicredit.eu,,,0.33,S,K64.1.9,SI
Zavarovalnica Triglav,https://www.triglav.si,,,0.13,G,K65.1,SI
