company_name,website,company_id,vat_id,nace_code,nace_desc_eng,industry_impact,baseline_adjustment,priority_category,estimated_raw_score,estimated_final_score,estimated_classification
New Originals (SK) s. r. o.,http://www.alfabio.sk/,30223041,SK30223041,C10.890,manufacture of other food products n.e.c.,Medium-Impact,0,E,0.79,0.79,Advanced
"ANASOFT APR, spol. s r.o.",https://anasoft apr,31361552,SK31361552,J62.010,computer programming activities,Medium-Impact,0,G,0.79,0.79,Advanced
AQUAPROCON s.r.o.,https://www.aquaprocon.cz/,35848805,SK35848805,M71.120,engineering activities and related technical consultancy,Medium-Impact,0,G,0.69,0.69,Progressing
"Račianske mýto, s.r.o.",https://astoria finance,35848162,SK35848162,F43.120,site preparation,Medium-Impact,0,G,0.77,0.77,Advanced
1 AVALON s.r.o.,https://www.avalon.sk/,47700459,SK47700459,N82.990,other business support service activities n.e.c.,Medium-Impact,0,G,0.75,0.75,Advanced
"KK KUBANKA, spol. s r.o.",https://banka zilinskej,35826975,SK35826975,F41.201,construction of residential and non-residential buildings,Medium-Impact,0,G,0.73,0.73,Advanced
Barger Prekop Services s. r. o.,https://www.bargerprekop.com/,36853640,SK36853640,M70.220,business and other management consultancy activities,Medium-Impact,0,G,0.76,0.76,Advanced
B & S Legal s.r.o.,https://www.bartosiksvaby.sk,35929049,SK35929049,M69.100,legal activities,Medium-Impact,0,G,0.67,0.67,Progressing
Benefit Management s.r.o.,https://www.benefitplus.sk/,NA,NA,N82.990,other business support service activities n.e.c.,Medium-Impact,0,G,0.48,0.48,Emerging
Bidfood Slovakia s. r. o.,https://bidfood.com,34152199,SK34152199,G46.380,"wholesale of other food, including fish, crustaceans and molluscs",Medium-Impact,0,G,0.76,0.76,Advanced
"BKS Bank AG, pobočka zahraničnej banky v SR",https://www.bks.sk/,36869856,SK36869856,K64.190,other monetary intermediation,Medium-Impact,0,G,0.72,0.72,Advanced
"Brainz, s.r.o.",https://www.brain.sk/,36617440,SK36617440,J62.010,computer programming activities,Medium-Impact,0,G,0.76,0.76,Advanced
BRANTNER Slovakia s.r.o.,http://www.brantner.sk/,31698336,SK31698336,E38.110,collection of non-hazardous waste,Medium-Impact,0,E,0.79,0.79,Advanced
Fadrex Capital Markets s. r. o. v likvidácii,https://www.capitalmarkets.sk/,36663778,SK36663778,M73.110,advertising agencies,Medium-Impact,0,G,0.69,0.69,Progressing
ČECHOVÁ & PARTNERS s. r. o.,https://www.cechova.sk,47249129,SK47249129,M69.100,legal activities,Medium-Impact,0,G,0.72,0.72,Advanced
"CERVA Slovensko, s.r.o.",cerva.com,35703741,SK35703741,G46.900,non-specialised wholesale trade,Medium-Impact,0,G,0.79,0.79,Advanced
"CN group, s.r.o.",https://cn group,45526478,SK45526478,L68.310,real estate agencies,Medium-Impact,0,G,0.8,0.8,Advanced
Delirest Slovakia s. r. o.,https://compass-group.com,31342809,SK31342809,I56.290,other food service activities,Low-Impact,0,G,0.67,0.67,Progressing
Credo Bank,https://credobank,NA,NA,K64.190,other monetary intermediation,Medium-Impact,0,G,0.72,0.72,Advanced
Crystal Company s. r. o.,https://crystal finance,46029923,SK46029923,G46.900,non-specialised wholesale trade,Medium-Impact,0,G,0.73,0.73,Advanced
CRYSTAL STUDIO s. r. o.,http://www.crystal0studio.com/,47166339,SK47166339,N82.990,other business support service activities n.e.c.,Medium-Impact,0,G,0.79,0.79,Advanced
DOMAN Trade s.r.o.,https://doma.sk insurance brokers,47557591,SK47557591,G46.450,wholesale of perfume and cosmetics,Medium-Impact,0,G,0.67,0.67,Progressing
"Reding Development, s.r.o. v likvidácii",doprastav.sk,36667412,SK36667412,F41.100,development of building projects,Medium-Impact,0,G,0.8,0.8,Advanced
ECO-LOGIC LIGHTING PROJECTS s. r. o.,https://www.eco-logic.sk/,34108661,SK34108661,M70.220,business and other management consultancy activities,Medium-Impact,0,G,0.79,0.79,Advanced
"FCC Ekologické služby, s. r. o. v likvidácii",http://www.ekologickesluzby.sk/,35900491,SK35900491,E38.320,recovery of sorted materials,Medium-Impact,0,E,0.66,0.66,Progressing
"Mliekoservis Slovakia, a.s.",https://www.ekoservis.sk/,35820667,SK35820667,G46.330,"wholesale of dairy products, eggs and edible oils and fats",Medium-Impact,0,G,0.73,0.73,Advanced
"Boto Enviro s.r.o.,",https://www.envipak.sk/,48130486,SK48130486,G46.190,agents involved in the sale of a variety of goods,Medium-Impact,0,G,0.71,0.71,Advanced
"ENVI - PAK, a.s.",https://www.envipak.sk/,35858010,SK35858010,G46.191,agents involved in the sale of a variety of goods,Medium-Impact,0,G,0.79,0.79,Advanced
"Enviroservis, s.r.o.",http://www.enviroservis.sk/,36629073,SK36629073,M71.200,technical testing and analysis,Medium-Impact,0,G,0.72,0.72,Advanced
DOTYKY PRÍRODY s.r.o.,https://eset,35895420,SK35895420,G46.690,wholesale of other machinery and equipment,Medium-Impact,0,G,0.78,0.78,Advanced
ESOX fishing tech s.r.o.,http://www.esox.sk/,36750018,SK36750018,N82.990,other business support service activities n.e.c.,Medium-Impact,0,G,0.76,0.76,Advanced
"SPP - preprava, a.s.",eustream.sk,35910712,SK35910712,H49.501,transport via pipeline,Medium-Impact,0,G,0.77,0.77,Advanced
EVBox B.V.,https://evbox.com,NA,NA,C27.900,manufacture of other electrical equipment,Medium-Impact,0,E,0.43,0.43,Emerging
Experting s. r. o. v likvidácii,https://experting,44592281,SK44592281,M70.220,business and other management consultancy activities,Medium-Impact,0,G,0.75,0.75,Advanced
"Swiss Life Select Slovensko, a. s.",https://fincentrum,36752606,SK36752606,K66.220,activities of insurance agents and brokers,Medium-Impact,0,G,0.65,0.65,Progressing
"WinFin Services, s. r. o.",https://finportal,44742738,SK44742738,K66.220,activities of insurance agents and brokers,Medium-Impact,0,G,0.77,0.77,Advanced
Framestore Ltd.,https://framestore.com,NA,NA,J59.120,"motion picture, video and television programme post-production activities",Medium-Impact,0,G,0.35,0.35,Limited
"REALITNÁ A SERVISNÁ SPOLOČNOSŤ, s. r. o.",geis-group.sk,36308731,SK36308731,H52.290,other transportation support activities,Medium-Impact,0,G,0.68,0.68,Progressing
"Glatzová & Co., s. r. o.",https://www.glatzova.com,36860506,SK36860506,M69.100,legal activities,Medium-Impact,0,G,0.79,0.79,Advanced
GraTex International spol. s r.o.,https://gratex international,17320356,SK17320356,J62.010,computer programming activities,Medium-Impact,0,G,0.74,0.74,Advanced
"Hillbridges, s. r. o.",https://hillbridges.sk,36799327,SK36799327,M69.100,legal activities,Medium-Impact,0,G,0.71,0.71,Advanced
HKV Law Firm s.r.o.,https://hkvlaw.sk,36611301,SK36611301,M69.100,legal activities,Medium-Impact,0,G,0.72,0.72,Advanced
Honeywell Safety Products Partizanske s.r.o.,https://sps.honeywell.com,36299162,SK36299162,C15.200,manufacture of footwear,Medium-Impact,0,G,0.66,0.66,Progressing
"Hypocentrum finančné služby, a.s.",https://hypocentrum,36704571,SK36704571,K66.220,activities of insurance agents and brokers,Medium-Impact,0,G,0.8,0.8,Advanced
INISOFT s. r. o.,http://www.inisoft.sk/,45234469,SK45234469,J62.090,other information technology and computer service activities,Medium-Impact,0,G,0.71,0.71,Advanced
INSIA s.r.o.,https://insia slovakia,36227820,SK36227820,G46.900,non-specialised wholesale trade,Medium-Impact,0,G,0.79,0.79,Advanced
"TETRA inSure, s.r.o.",https://insure,35866501,SK35866501,N81.210,general cleaning of buildings,Medium-Impact,0,G,0.78,0.78,Advanced
"IQ Finance s.r.o. ,,v likvidácií”",https://iq-finance,46938541,SK46938541,G46.900,non-specialised wholesale trade,Medium-Impact,0,G,0.75,0.75,Advanced
Novell SK s. r. o.,http://www.itsoft.sk/,47986778,SK47986778,J62.010,computer programming activities,Medium-Impact,0,G,0.8,0.8,Advanced
"JandL, marketing a reklama, s.r.o.",jandl.sk,31356036,SK31356036,M73.110,advertising agencies,Medium-Impact,0,G,0.74,0.74,Advanced
"Centrum pre vedu a výskum, s. r. o.",https://www.kinstellar.com,36856738,SK36856738,M72.190,other research and experimental development on natural sciences and engineering,Medium-Impact,0,G,0.7,0.7,Advanced
