original_target_name,clean_search_name,matched_official_name,reg_id,similarity_score
GEN-I,GEN-I,ŠPORTNO DRUŠTVO GEN-I,4099583000,0.273
Petrol,Petrol,PETROL SKLADIŠČENJE D.O.O.,1721895001,0.292
NLB,NLB,DRUŠTVO UPOKOJENCEV NLB,4097424000,0.167
Telekom Slovenije,Telekom Slovenije,"TELEKOM SLOVENIJE, d.d.",5014018000,0.9
Wolf Theiss Slovenia,Wolf Theiss,Odvetniška pisarna WOLF THEISS - Podružnica v Sloveniji,3373860000,0.226
Bolha Slovenia,Bolha,"Bolha tiskanje, Klemen Bolha s.p.",9423834000,0.231
Honeywell Safety Products Slovenia,Honeywell Safety Products,"LA Products, gostinske storitve, d.o.o.",8421528000,0.196
Revolut Slovenia,Revolut,"REVOLUT - G, raziskave, razvoj in prodaja, d.o.o.",8378959000,0.211
Bunq Slovenia,Bunq,BUNC kardiologija d.o.o.,2271451000,0.125
Wise Slovenia,Wise,"WISE UP, izobraževanje, d.o.o.",8610665000,0.192
PayPal Slovenia,PayPal,EKOPAL palete d.o.o.,8492328000,0.2
Stripe Slovenia,Stripe,Zavod Strip art,6809669000,0.278
eToro Slovenia,eToro,"EL-TORO, gostinstvo, d.o.o.",8370168000,0.16
Tide Slovenia,Tide,TINDE D.O.O.,5644518001,0.25
Allianz Slovenia,Allianz,"ALLIANCE, poslovno svetovanje, d.o.o.",6688691000,0.171
Generali Slovenia,Generali,GENERALI zavarovalnica d.d.,5186684000,0.36
Talanx Slovenia,Talanx,TATTOO DRUŠTVO DALANO TATTOO,1768409000,0.167
Wüstenrot Slovenia,Wüstenrot,"Matej Jerot s.p., osebni asistent",9870202000,0.105
AXA Partners Slovenia,AXA Partners,"AP PARTNER, storitve, d.o.o.",8206961000,0.276
Starr Insurance Slovenia,Starr Insurance,"Arkos.Insurance., poslovne storitve d.o.o.",6558607000,0.286
AIG Slovenia,AIG,AIDA D.O.O. PREKOPA,5549353001,0.105
Travelers Slovenia,Travelers,"Travelers Stay, hotelske storitve, d.o.o.",9499636000,0.286
Kelly Services Slovenia,Kelly Services,"ZR-SERVICES, servis strojev d.o.o.",9303189000,0.29
Gi Group Slovenia,Gi Group,DenMax Group d.o.o.,7354665000,0.333
Synergie Slovenia,Synergie,"ECOSYNERGY SYSTEM, sistem ekosinergije, d.o.o.",7237537000,0.189
Brunel Slovenia,Brunel,KLEMEN BRUN - SLIKAR,1892517000,0.182
Grafton Recruitment Slovenia,Grafton Recruitment,"RENT BAU, gradbeništvo d.o.o.",8636532000,0.179
Modis Slovenia,Modis,C & A MODA d.o.o.,1593838000,0.188
